日,単語,意味,例文（英語）,例文（日本語訳）
324,deprive,奪う,The accident deprived him of his sight.,その事故で彼は視力を失った。
325,temporary,一時的な,The store is closed due to temporary maintenance.,店は一時的なメンテナンスのため閉店中です。
326,fraud,詐欺,The company was involved in a financial fraud.,その会社は金融詐欺に関与していた。
327,verify,確認する,Please verify your email address.,メールアドレスを確認してください。
328,suppress,抑える、鎮圧する,The police tried to suppress the protest.,警察は抗議活動を鎮圧しようとした。
329,foster,促進する、育てる,The program aims to foster creativity in children.,そのプログラムは子どもの創造性を育てることを目的としている。
330,absurd,ばかげた,It's absurd to think that money solves all problems.,お金がすべての問題を解決するという考えはばかげている。
331,jeopardize,危険にさらす,His actions could jeopardize the entire project.,彼の行動はプロジェクト全体を危険にさらす可能性がある。
332,subtle,微妙な、かすかな,The perfume has a subtle scent of jasmine.,その香水はジャスミンのほのかな香りがする。
333,undermine,弱体化させる,His constant criticism undermined her confidence.,彼の絶え間ない批判が彼女の自信を損なった。
334,obscure,不明瞭な、曖昧な,The meaning of the text was obscure.,その文章の意味は曖昧だった。
335,weary,疲れた、うんざりした,She felt weary after the long meeting.,長い会議の後で彼女は疲れていた。
336,indulge,甘やかす、ふける,He occasionally indulges in luxury desserts.,彼は時々贅沢なデザートにふける。
337,resent,憤慨する、腹を立てる,He resented being treated unfairly.,彼は不公平な扱いに腹を立てた。
338,distract,気をそらす,The noise distracted me from studying.,騒音で勉強に集中できなかった。
339,hostile,敵意のある,The villagers were hostile to outsiders.,村人たちはよそ者に敵意を持っていた。
340,withdraw,撤退する、引き出す,The troops were ordered to withdraw from the region.,部隊は地域からの撤退を命じられた。
341,embrace,受け入れる、抱きしめる,She embraced the new culture with enthusiasm.,彼女は新しい文化を熱意を持って受け入れた。
342,overwhelm,圧倒する,She was overwhelmed by emotion.,彼女は感情に圧倒された。
343,contaminate,汚染する,The river was contaminated with chemicals.,川は化学物質で汚染されていた。
344,restore,修復する、回復させる,The government plans to restore the historic building.,政府はその歴史的建造物を修復する予定だ。
345,acknowledge,認める、受け入れる,She acknowledged her mistake.,彼女は自分のミスを認めた。
346,agenda,議題,The manager distributed the agenda before the meeting.,マネージャーは会議の前に議題を配布した。
347,approximate,おおよその,The approximate cost is around $500.,おおよその費用は約500ドルです。
348,benefit,利益,All employees benefit from the new policy.,すべての従業員が新しい方針の恩恵を受ける。
349,cancel,取り消す,The flight was canceled due to bad weather.,悪天候のためフライトはキャンセルされた。
350,complaint,苦情,He filed a complaint about the poor service.,彼は悪いサービスについて苦情を申し立てた。
351,comprehensive,包括的な,We need a comprehensive report on the project.,そのプロジェクトに関する包括的な報告が必要だ。
352,conference,会議,She is attending a business conference in New York.,彼女はニューヨークでビジネス会議に参加している。
353,contract,契約,They signed a three-year contract yesterday.,彼らは昨日、3年間の契約を結んだ。
354,deduct,差し引く,Taxes will be deducted from your salary.,税金は給料から差し引かれる。
355,delivery,配達,The package is scheduled for delivery tomorrow.,その荷物は明日配達予定です。
356,eligible,資格がある,Only full-time staff are eligible for the bonus.,フルタイムのスタッフだけがボーナスの対象です。
357,expense,費用,We must reduce unnecessary expenses.,不要な費用を削減しなければならない。
358,feedback,意見,The manager asked for feedback on the new system.,マネージャーは新しいシステムについての意見を求めた。
359,financial,財政の,They are facing financial difficulties.,彼らは財政的な困難に直面している。
360,invoice,請求書,Please send the invoice to our accounting department.,請求書を会計部に送ってください。
361,postpone,延期する,The meeting was postponed until next week.,会議は来週まで延期された。
362,productivity,生産性,New software has improved productivity.,新しいソフトウェアで生産性が向上した。
363,proposal,提案,He submitted a proposal for the new project.,彼は新しいプロジェクトの提案を提出した。
364,quotation,見積もり,We received a quotation from the supplier.,仕入先から見積もりを受け取った。
365,recommendation,推薦,The committee accepted her recommendation.,委員会は彼女の推薦を受け入れた。
366,reduction,削減,The company plans a 10% cost reduction.,会社は10％のコスト削減を計画している。
367,reminder,催促、リマインダー,This is a reminder to submit your report.,これはレポート提出のリマインダーです。
368,reschedule,スケジュールを変更する,Can we reschedule the meeting for Friday?,会議を金曜日に変更できますか？
